CPU Name,Price1,CPU Mark,CPU Value2,Thread Mark,Thread Value3,TDP (W),Power Perf.4,Test Date5,Socket,Category,
Intel Xeon D-2143IT @ 2.20GHz,$566.00*,13816,24.41,1709,3.02,65,212,Aug-18,FCBGA2518,Server,
Intel Core i7-4960X @ 3.60GHz,$769.99*,13813,17.94,2082,2.7,130,106,Jan-13,LGA2011,Desktop,
Intel Xeon E5-2690 @ 2.90GHz,$133.00 ,13713,103.11,1858,13.97,135,101,Mar-12,LGA2011,Server,
Intel Core i7-5930K @ 3.50GHz,$329.00*,13664,41.53,2104,6.4,140,97,Aug-14,LGA2011-v3,Desktop,
Intel Xeon E5-2648L v4 @ 1.80GHz,NA,13654,NA,1313,NA,75,182,Jul-17,FCLGA2011-3,Server,
Intel Xeon E5-4669 v4 @ 2.20GHz,NA,13626,NA,1250,NA,135,100,Apr-17,FCLGA2011-3,Server,
Intel Xeon E5-1650 v3 @ 3.50GHz,$145.96 ,13623,93.34,2147,14.72,140,97,Oct-14,LGA2011-v3,Server,
Intel Core i5-9600KF @ 3.70GHz,$204.99 ,13601,66.35,2685,13.1,95,143,May-19,FCLGA1151-2,Desktop,
Intel Xeon E-2126G @ 3.30GHz,$299.99*,13583,45.28,2605,8.69,80,169,Nov-18,FCLGA1151-2,Server,
Intel Core i7-6800K @ 3.40GHz,$329.85 ,13565,41.13,2065,6.26,140,96,May-16,LGA2011-v3,Desktop,
Intel Xeon E-2176M @ 2.70GHz,$450.00*,13546,30.1,2479,5.51,45,301,Apr-18,FCBGA1440,Laptop,
Intel Core i7-9750H @ 2.60GHz,$395.00*,13518,34.22,2476,6.27,45,300,Apr-19,FCBGA1440,Laptop,
AMD Ryzen 5 2600,$117.68 ,13514,114.84,2005,17.04,65,207,Apr-18,AM4,Desktop,
Intel Xeon E5-2650L v3 @ 1.80GHz,$232.22*,13513,58.19,1419,6.11,65,207,Aug-15,LGA2011-v3,Server,
Intel Xeon E5-2643 v4 @ 3.40GHz,671.25*,13475,8.06,2018,1.21,135,99,Jun-16,FCLGA2011-3,Server,
Intel Core i5-9600K @ 3.70GHz,$219.95 ,13475,61.27,2679,12.18,95,141,Oct-18,FCLGA1151-2,Desktop,
AMD Ryzen 7 2700E,NA,13410,NA,2133,NA,45,298,Sep-19,AM4,Desktop,
Intel Core i7-9700T @ 2.00GHz,$323.00*,13296,41.17,2497,7.73,35,379,Jul-19,FCLGA1151-2,Desktop,
Intel Xeon E5-2689 @ 2.60GHz,NA,13291,NA,1761,NA,115,115,Mar-13,LGA 2011,Server,
Intel Xeon E5-2650 v2 @ 2.60GHz,$87.59 ,13230,151.05,1715,19.58,95,139,Jul-13,FCLGA2011,Server,
AMD Ryzen 5 1600X,$146.99 ,13202,89.82,1963,13.36,95,138,Apr-17,AM4,Desktop,
AMD Ryzen 5 3500,NA,13171,NA,2677,NA,65,202,Oct-19,AM4,Desktop,
Intel Xeon E5-2660 v2 @ 2.20GHz,$212.89 ,13142,61.73,1506,7.08,95,138,Mar-14,LGA 2011,Server,
Intel Xeon E5-2643 v2 @ 3.50GHz,$209.99 ,13121,62.49,1973,9.4,130,100,Jul-13,FCLGA2011,Server,
Intel Xeon Silver 4208 @ 2.10GHz,$508.95 ,13116,25.77,1680,3.3,85,154,Jul-19,FCLGA3647,Server,
Intel Xeon E5-2628L v4 @ 1.90GHz,364.00*,13101,9.61,1311,0.96,75,174,Feb-17,FCLGA2011-3,Server,
Intel Core i5-9500F @ 3.00GHz,$202.00*,13064,64.67,2631,13.03,65,200,Jul-19,FCLGA1151-2,Desktop,
Intel Core i7-4930K @ 3.40GHz,$475.50*,13023,27.39,1998,4.2,130,100,Jan-13,LGA2011,Desktop,
Intel Core i7-5820K @ 3.30GHz,$249.99 ,13012,52.05,2025,8.1,140,92,Sep-14,LGA2011-v3,Desktop,
Intel Core i7-10710U @ 1.10GHz,$443.00*,12985,29.31,2393,5.4,15,865,Oct-19,FCBGA1528,Laptop,
Intel Core i7-8850H @ 2.60GHz,$395.00*,12984,32.87,2448,6.2,45,288,Apr-18,FCBGA1440,Laptop,
