CPU Name,Price1,CPU Mark,CPU Value2,Thread Mark,Thread Value3,TDP (W),Power Perf.4,Test Date5,Socket,Category,
Intel Pentium T3200 @ 2.00GHz,$12.00*,1032,86.03,681,56.78,35,29,Feb-09,PPGA478,Laptop,
Intel Atom x5-Z8330 @ 1.44GHz,NA,1029,NA,430,NA,4,257,Aug-16,NA,Laptop,
Intel Core2 Duo T5600 @ 1.83GHz,NA,1029,NA,653,NA,34,30,Dec-08,PGA478,Laptop,
AMD TurionX2 Dual Core Mobile RM-72,NA,1026,NA,559,NA,35,29,Apr-09,S1,Laptop,
Intel 1500 @ 2.00GHz,NA,1024,NA,NA,NA,NA,NA,Apr-09,NA,Unknown,
Intel Core Duo T2700 @ 2.33GHz,NA,1024,NA,724,NA,31,33,Feb-09,BGA479,Laptop,
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,$62.00*,1023,16.51,566,9.13,32,31,Mar-09,S1,Laptop,
Intel Celeron 847E @ 1.10GHz,NA,1021,NA,545,NA,17,60,Aug-12,FCBGA1023,Laptop,
Intel Core2 Duo P7700 @ 1.80GHz,NA,1021,NA,NA,NA,NA,NA,Feb-09,NA,Unknown,
Intel Core2 Duo T7100 @ 1.80GHz,$21.99*,1020,46.39,651,29.65,35,29,Feb-09,BGA479,Laptop,
Intel Celeron J1800 @ 2.41GHz,NA,1019,NA,554,NA,10,101,Feb-14,FCBGA1170,Desktop,
AMD E1-7010 APU,NA,1018,NA,551,NA,10,101,Jun-16,BGA769 (FT3b),Laptop,
Intel Atom Z3745D @ 1.33GHz,NA,1018,NA,347,NA,4.4,231,Oct-14,NA,Laptop,
AMD Turion Dual-Core RM-74,NA,1016,NA,542,NA,35,29,Jan-14,S1,Laptop,
Intel Atom Z3740D @ 1.33GHz,NA,1011,NA,331,NA,4.4,229,Jul-13,UTFCBGA1380,Laptop,
AMD Athlon X2 Dual Core LS-5800,NA,1009,NA,NA,NA,NA,NA,Feb-12,NA,Unknown,
AMD Opteron 1212,$290.00*,1009,3.48,553,1.91,103,9,Mar-09,AM2,Server,
AMD Athlon 64 X2 QL-67,NA,1006,NA,469,NA,35,28,Dec-09,S1,Laptop,
AMD Athlon II X2 250u,$34.95*,1004,28.74,553,15.85,25,40,Feb-10,AM3,Desktop,
AMD Athlon 64 X2 QL-62,NA,1003,NA,569,NA,35,28,Jan-09,S1,Laptop,
AMD Turion Dual-Core RM-75,$27.46*,1003,36.53,519,18.91,35,28,Aug-09,S1,Laptop,
AMD Athlon Neo X2 Dual Core 6850e,NA,1002,NA,554,NA,22,45,Nov-09,NA,Unknown,
Intel Celeron N2840 @ 2.16GHz,NA,1002,NA,551,NA,7,143,Oct-14,FCBGA1170,Laptop,
AMD Athlon 64 X2 Dual Core 3800+,NA,999,NA,609,NA,89,11,Nov-08,AM2,Desktop,
Intel Pentium E2160 @ 1.80GHz,$15.51*,999,64.42,658,42.44,65,15,Dec-08,LGA775,Desktop,
AMD Athlon X2 Dual Core 6850e,NA,998,NA,556,NA,22,45,Jul-10,NA,Unknown,
AMD Turion 64 X2 Mobile TL-60,$15.95*,998,62.61,590,37.01,31,32,Feb-09,S1,Laptop,
AMD TurionX2 Dual Core Mobile RM-70,NA,997,NA,573,NA,31,32,Feb-09,S1,Laptop,
AMD Sempron Dual Core 2200,NA,995,NA,578,NA,65,15,May-09,NA,Unknown,
AMD Athlon 64 X2 Dual Core 3400+,NA,994,NA,532,NA,89,11,Oct-10,754,Desktop,
AMD Turion X2 Dual-Core Mobile RM-70,NA,994,NA,553,NA,31,32,Mar-09,S1,Laptop,
Intel Celeron P4505 @ 1.87GHz,NA,994,NA,762,NA,35,28,Mar-10,BGA1288,Laptop,
Intel Core2 Duo T5670 @ 1.80GHz,NA,994,NA,648,NA,35,28,Mar-09,Socket P,Laptop,
AMD Athlon 64 X2 QL-64,NA,990,NA,583,NA,35,28,Mar-09,S1,Laptop,
AMD Athlon 64 X2 TK-57,NA,988,NA,NA,NA,31,31,Feb-10,NA,Unknown,
Intel Celeron N3060 @ 1.60GHz,NA,984,NA,541,NA,6,164,Apr-16,NA,Laptop,
AMD Sempron Dual Core 2300,$41.99*,982,23.39,621,14.81,65,15,Sep-09,NA,Unknown,
Intel 1400 @ 1.83GHz,NA,980,NA,NA,NA,NA,NA,Sep-11,NA,Unknown,
Intel Celeron J3060 @ 1.60GHz,NA,978,NA,542,NA,6,163,Aug-16,BGA1170,Desktop,
AMD Turion II Neo K625 Dual-Core,NA,977,NA,509,NA,15,65,Jun-10,S1,Laptop,
Intel Pentium T2410 @ 2.00GHz,NA,977,NA,682,NA,NA,NA,Mar-09,NA,Unknown,
Intel Celeron N3010 @ 1.04GHz,NA,973,NA,513,NA,4,243,Nov-16,FCBGA1170,Laptop,
Intel Core2 Duo L7700 @ 1.80GHz,NA,973,NA,593,NA,17,57,Apr-09,NA,Laptop,
AMD Athlon 64 X2 Dual Core TK-57,NA,971,NA,NA,NA,31,31,Aug-10,NA,Unknown,
AMD Opteron 1210 HE,NA,971,NA,NA,NA,65,14,Jan-11,AM2,Server,
Athlon Dual Core 4050e,NA,968,NA,633,NA,45,21,Oct-09,AM2,Desktop,
Intel Celeron N2830 @ 2.16GHz,NA,966,NA,516,NA,7.5,128,Apr-14,FCBGA1170,Laptop,
Intel Celeron @ 1.30GHz,NA,965,NA,679,NA,NA,NA,Aug-13,NA,Unknown,
AMD Opteron 256,$19.00*,963,50.72,NA,NA,92.6,10,Apr-09,940,Server,
AMD Opteron 265,$73.00 ,963,13.2,NA,NA,95,10,May-09,940,Server,
AMD Athlon 64 X2 Dual Core 3600+,$60.00 ,962,16.03,591,9.86,65,14,Dec-08,AM2,Desktop,
Intel Atom C2358 @ 1.74GHz,NA,961,NA,448,NA,7,137,Jun-16,FCBGA1283,Laptop,
Intel Core2 Duo L7500 @ 1.60GHz,NA,961,NA,574,NA,17,56,Feb-09,BGA479,Laptop,
Intel Pentium Extreme Edition 965 @ 3.73GHz,NA,961,NA,837,NA,130,7,Mar-09,PLGA775,Desktop,
AMD E1 Micro-6200T APU,NA,960,NA,552,NA,3.95,243,Oct-14,FT3b,Laptop,
Intel T2050 @ 2.00GHz,NA,959,NA,677,NA,31,30,Dec-12,PPGA478,Unknown,
AMD Athlon 64 X2 3800+,NA,958,NA,646,NA,89,10,May-10,939,Desktop,
AMD Athlon 64 X2 TK-55,NA,955,NA,NA,NA,31,30,Aug-10,NA,Unknown,
Intel T1500 @ 1.86GHz,NA,953,NA,660,NA,NA,NA,May-09,NA,Unknown,
AMD Sempron 2650 APU,$64.95 ,951,14.65,534,8.24,25,38,Apr-14,AM1,FSB1,Desktop
Intel Pentium U5600 @ 1.33GHz,NA,951,NA,552,NA,18,52,Feb-11,BGA1288,Laptop,
Intel Celeron T1600 @ 1.66GHz,$19.99*,950,47.54,604,30.26,35,27,Jan-09,NA,Laptop,
Intel Pentium T2390 @ 1.86GHz,NA,949,NA,649,NA,35,27,Feb-09,PPGA478,Laptop,
AMD Sempron Dual Core 4700,NA,948,NA,NA,NA,NA,NA,Mar-09,NA,Unknown,
Intel Atom Z3735E @ 1.33GHz,$117.00*,948,8.1,361,3.09,4.4,215,Jun-14,UTFCBGA1380,Laptop,
AMD Athlon 64 X2 QL-66,NA,947,NA,553,NA,35,27,Oct-09,S1,Laptop,
AMD Turion 64 X2 Mobile TL-58,NA,947,NA,560,NA,31,30,Feb-09,S1,Laptop,
Intel Celeron 1019Y @ 1.00GHz,NA,946,NA,520,NA,10,94,May-14,FCBGA1023,Desktop,
Intel Core2 Duo P7500 @ 1.60GHz,NA,945,NA,NA,NA,NA,NA,Mar-09,NA,Unknown,
Intel Core Duo T2600 @ 2.16GHz,NA,944,NA,668,NA,31,30,Mar-09,BGA479,Laptop,
Intel Xeon Gold 6130 @ 2.10GHz,$1 ,937.79,19643,10.14,1754,0.91,125,157,Nov-17,FCLGA3647,Server
Intel Atom Z3735D @ 1.33GHz,NA,937,NA,354,NA,4.4,212,Jun-14,NA,Laptop,
Intel Celeron N2820 @ 2.13GHz,$179.99 ,937,5.21,512,2.85,7.5,124,Jan-14,FCBGA1170,Laptop,
AMD Sempron Dual Core 2100,$39.00*,936,24.02,557,14.29,65,14,Mar-09,NA,Unknown,
Intel Celeron 847 @ 1.10GHz,$315.00*,935,2.97,540,1.72,17,55,Nov-11,BGA1023,Laptop,
Intel Core2 Duo T5300 @ 1.73GHz,NA,933,NA,606,NA,34,27,Mar-09,PGA478,Laptop,
AMD Turion II Neo N40L Dual-Core,NA,930,NA,501,NA,15,62,Dec-11,BGA812,Laptop,
Intel T1400 @ 1.73GHz,NA,929,NA,644,NA,NA,NA,Mar-09,NA,Unknown,
AMD Athlon 64 X2 QL-60,NA,925,NA,538,NA,35,26,Mar-09,S1,Laptop,
Intel Core2 Duo SU9400 @ 1.40GHz,NA,925,NA,577,NA,10,92,Feb-09,BGA956,Laptop,
Intel Core i9-9980XE @ 3.00GHz,$1 ,924.99,29544,15.35,2456,1.28,165,179,Dec-18,FCLGA2066,Desktop
AMD Athlon 64 X2 Dual-Core TK-57,NA,924,NA,563,NA,31,29,Feb-09,NA,Unknown,
AMD Opteron 1210,$65.00 ,923,14.21,NA,NA,103,8,Apr-09,AM2,Server,
AMD Turion X2 Dual Core L510,NA,923,NA,510,NA,20,46,Jul-10,ASB1,Laptop,
Intel Core2 Duo T5500 @ 1.66GHz,NA,923,NA,590,NA,34,27,Feb-09,PGA478,Laptop,
AMD Athlon X2 Dual Core BE-2300,NA,920,NA,567,NA,45,20,Feb-09,AM2,Desktop,
Intel Atom S1260 @ 2.00GHz,$64.00*,916,14.32,344,5.39,8.5,107,May-13,FCBGA1283,Server,
Intel Atom Z3735F @ 1.33GHz,$181.30*,914,5.04,354,1.95,4.4,207,Aug-14,UTFCBGA592,Laptop,
Intel Core2 Duo T5450 @ 1.66GHz,NA,913,NA,574,NA,35,26,Jan-09,PGA478,Laptop,
AMD Turion Dual-Core RM-70,$25.00*,912,36.49,551,22.05,31,29,Dec-08,S1,Laptop,
Intel Atom Z3736F @ 1.33GHz,NA,912,NA,383,NA,4.4,207,Oct-14,UTFCBGA592,Laptop,
Intel Pentium Extreme Edition 955 @ 3.46GHz,$759.00*,912,1.2,800,1.05,130,7,Apr-09,PLGA775,Desktop,
Intel Core2 Duo T5470 @ 1.60GHz,NA,908,NA,582,NA,35,25,Feb-09,PGA478,Laptop,
Intel Celeron N2808 @ 1.58GHz,NA,907,NA,490,NA,4.5,201,Mar-15,FCBGA1170,Laptop,
Intel Atom Z3735G @ 1.33GHz,NA,906,NA,355,NA,4.4,205,Oct-14,NA,Laptop,
AMD E1-6015 APU,NA,900,NA,523,NA,NA,NA,Jul-15,BGA769 (FT3b),Laptop,
AMD Opteron 165,$550.00 ,899,1.63,553,1.01,110,8,Jan-09,939,Server,
Intel Celeron N3000 @ 1.04GHz,NA,899,NA,478,NA,4,224,Aug-15,FCBGA1170,Laptop,
Intel Atom C2338 @ 1.74GHz,NA,898,NA,359,NA,7,128,Oct-14,FCBGA1283,Laptop,
AMD E1-2500 APU,NA,894,NA,517,NA,15,59,Sep-13,FT3,Laptop,
AMD Turion 64 X2 Mobile TL-56,$13.95*,891,63.89,536,38.45,31,28,Feb-09,S1,Laptop,
Intel Celeron N3050 @ 1.60GHz,$159.99 ,879,5.5,468,2.93,6,146,Jul-15,FCBGA1170,Laptop,
AMD Athlon 64 X2 Dual-Core TK-42,NA,877,NA,470,NA,20,43,Jul-09,NA,Unknown,
AMD Athlon 64 X2 Dual-Core TK-55,$72.74*,874,12.02,535,7.36,35,24,Dec-08,NA,Unknown,
Intel Core2 Duo U7300 @ 1.30GHz,NA,873,NA,522,NA,10,87,Oct-09,BGA956,Laptop,
Intel Pentium E2140 @ 1.60GHz,$46.25 ,870,18.82,586,12.69,65,13,Nov-08,LGA775, PLGA775,Desktop
AMD E1-6010 APU,NA,868,NA,484,NA,10,86,Jul-14,FT3b,Laptop,
Intel Core Duo T2500 @ 2.00GHz,$119.99*,862,7.19,626,5.22,31,27,Mar-09,BGA479,Laptop,
Intel Celeron N2807 @ 1.58GHz,NA,861,NA,452,NA,4.3,200,Jun-14,FCBGA1170,Laptop,
AMD Turion Dual-Core RM-72,$39.99*,860,21.52,497,12.44,35,24,Feb-09,S1,Laptop,
Intel Celeron E1200 @ 1.60GHz,$109.95*,860,7.83,580,5.28,65,13,Dec-08,LGA775,Desktop,
AMD Turion X2 Dual Core Mobile RM-70,$132.56*,858,6.48,459,3.47,31,27,Nov-09,S1,Laptop,
Intel 1300 @ 1.66GHz,NA,857,NA,NA,NA,NA,NA,Dec-09,NA,Unknown,
Intel Celeron N2815 @ 1.86GHz,NA,857,NA,454,NA,7.5,114,Feb-14,FCBGA1170,Laptop,
AMD Athlon II Neo K345 Dual-Core,NA,856,NA,472,NA,12,71,Jan-11,NA,Laptop,
Intel Core2 Duo U9300 @ 1.20GHz,NA,855,NA,493,NA,10,85,May-09,BGA956,Laptop,
Intel Pentium SU4100 @ 1.30GHz,NA,853,NA,516,NA,10,85,Sep-09,BGA956,Laptop,
Intel Atom E3827 @ 1.74GHz,NA,849,NA,397,NA,8,106,Mar-16,FCBGA1170,Laptop,
Intel Pentium T2370 @ 1.73GHz,$35.00*,849,24.26,579,16.55,35,24,Dec-08,PPGA478,Laptop,
Intel Core2 Duo L7400 @ 1.50GHz,NA,846,NA,536,NA,17,49,May-11,BGA479,Laptop,
Intel Atom D2700 @ 2.13GHz,NA,842,NA,353,NA,10,84,Dec-11,BGA559,Desktop,
Intel Pentium T1080 @ 1.73GHz,NA,842,NA,NA,NA,NA,NA,Nov-11,NA,Unknown,
Intel Xeon Gold 6230 @ 2.10GHz,$1 ,840.64,24600,13.37,2224,1.21,125,196,Jun-19,FCLGA3647,Server
AMD Athlon 64 X2 Dual Core TK-53,$29.97*,839,28.02,480,16.03,31,27,Mar-09,NA,Unknown,
AMD Athlon 64 X2 Dual Core TK-55,$57.74*,839,14.53,553,9.59,31,27,Nov-09,NA,Unknown,
Intel Core2 Duo T5250 @ 1.50GHz,NA,839,NA,526,NA,35,23,Dec-08,PGA478,Laptop,
Intel Core2 Duo T5200 @ 1.60GHz,NA,833,NA,542,NA,34,24,Feb-09,Socket M,Laptop,
AMD Athlon Neo X2 Dual Core L335,NA,828,NA,457,NA,18,46,Aug-09,NA,Unknown,
Intel Pentium T2330 @ 1.60GHz,NA,827,NA,560,NA,35,23,Feb-09,PPGA478,Laptop,
AMD E2-2000 APU,NA,825,NA,462,NA,18,45,Mar-13,BGA413,FT1,Laptop
Intel Core Duo T2450 @ 2.00GHz,NA,825,NA,614,NA,31,26,Mar-09,PGA478,Laptop,
Intel Core2 Duo L7300 @ 1.40GHz,NA,825,NA,531,NA,17,48,Jun-09,BGA479,Laptop,
AMD Athlon 64 X2 Dual-Core TK-53,NA,820,NA,515,NA,31,26,Feb-09,NA,Unknown,
AMD E2-1800 APU,NA,815,NA,446,NA,18,45,Jun-12,FT1,Desktop,
Intel Celeron B720 @ 1.70GHz,NA,814,NA,NA,NA,35,23,Jul-12,NA,Laptop,
Intel Pentium U5400 @ 1.20GHz,NA,814,NA,480,NA,18,45,Aug-10,BGA1288,Laptop,
AMD Turion Neo X2 Dual Core L625,NA,813,NA,466,NA,18,45,Jun-09,ASB1,Laptop,
Intel Core2 Duo T5270 @ 1.40GHz,NA,813,NA,524,NA,35,23,Nov-08,PGA478,Laptop,
Intel Atom x5-E3930 @ 1.30GHz,NA,811,NA,557,NA,6.5,124,Feb-17,BGA1296,Laptop,
Intel Pentium D 960 @ 3.60GHz,NA,811,NA,852,NA,130,6,Apr-09,PLGA775,Desktop,
Intel Core i7-6950X @ 3.00GHz,$1 ,809.95,19920,11.01,2147,1.19,140,142,Jun-16,LGA2011-v3,Desktop
Intel Celeron U3600 @ 1.20GHz,NA,809,NA,480,NA,18,44,Feb-11,BGA1288,Laptop,
Intel Xeon E5-2695 v4 @ 2.10GHz,$5 ,808,20258,3.49,1628,0.28,120,168,Aug-16,FCLGA2011-3,Server
AMD Sempron 145,$94.92 ,807,8.51,887,9.34,45,17,Oct-10,AM3,Desktop,
Intel Atom Z3770D @ 1.49GHz,NA,805,NA,299,NA,4.4,182,May-14,BGA1380,Laptop,
Intel Celeron N2806 @ 1.60GHz,NA,802,NA,416,NA,4.5,178,Feb-14,FCBGA1170,Laptop,
AMD G-T56N,NA,796,NA,448,NA,18,44,Mar-11,FT1,Laptop,
AMD Athlon II Neo N36L Dual-Core,NA,795,NA,429,NA,12,66,Dec-10,NA,Laptop,
AMD Athlon 64 FX-25,NA,794,NA,NA,NA,95,8,Nov-09,AM2+,Unknown,
Intel Core Duo T2400 @ 1.83GHz,$16.00*,794,49.63,571,35.71,31,25,Mar-09,BGA479,Laptop,
Intel Celeron N2810 @ 2.00GHz,$139.99*,787,5.62,413,2.95,7.5,104,Dec-13,FCBGA1170,Laptop,
AMD Athlon X2 Dual Core 3250e,NA,778,NA,442,NA,22,35,Oct-09,NA,Unknown,
AMD Athlon Neo X2 Dual Core L325,NA,776,NA,450,NA,18,43,Jan-10,NA,Unknown,
AMD Athlon II Neo K325 Dual-Core,$25.99*,775,29.84,430,16.57,12,64,Jun-10,NA,Laptop,
Intel Celeron SU2300 @ 1.20GHz,NA,771,NA,480,NA,10,77,Oct-09,BGA956,Laptop,
AMD E1-2200 APU,NA,767,NA,417,NA,9,85,Oct-14,FT3,Laptop,
AMD E-450 APU,NA,765,NA,430,NA,18,42,Aug-11,FT1,Laptop,
AMD Turion 64 X2 Mobile TL-52,NA,763,NA,470,NA,31,24,Feb-09,S1,Laptop,
Intel Core Duo T2350 @ 1.86GHz,NA,761,NA,561,NA,31,24,Mar-09,PGA478,Laptop,
AMD Opteron 252,$63.36*,760,12,NA,NA,68,11,May-09,940,Server,
Intel Core2 Duo L7100 @ 1.20GHz,NA,760,NA,458,NA,NA,NA,Dec-08,BGA956,Laptop,
AMD E-350 APU,NA,759,NA,416,NA,18,42,Oct-12,FT1 BGA,Desktop, Laptop
AMD Sempron LE-1640,NA,759,NA,NA,NA,45,16,Oct-12,AM2,Unknown,
Intel Core Duo T2250 @ 1.73GHz,NA,754,NA,550,NA,31,24,Mar-09,PGA478,Laptop,
AMD G-T56E,NA,751,NA,440,NA,18,41,Jul-13,FT1,Laptop,
Intel Celeron 807 @ 1.50GHz,NA,751,NA,695,NA,17,44,Dec-14,BGA-1023,Laptop,
AMD Sempron 150,$44.95*,747,16.64,857,19.09,45,16,Apr-11,AM3,Desktop,
AMD Turion 64 X2 Mobile TL-50,$49.99*,747,14.95,464,9.3,31,24,Feb-09,S1,Laptop,
Intel Core Duo L2500 @ 1.83GHz,NA,747,NA,535,NA,15,49,Mar-09,BGA479,Laptop,
AMD E-350,NA,745,NA,424,NA,18,41,Jan-11,FT1,Desktop, Laptop
AMD GX-212JC SOC,NA,744,NA,389,NA,6,124,Jul-14,FT3b,Laptop,
Intel Pentium D 950 @ 3.40GHz,NA,742,NA,801,NA,130,5,Nov-08,PLGA775,Desktop,
AMD Sempron 140,$39.59*,739,18.67,838,21.18,45,16,Aug-09,AM3,Desktop,
Intel Pentium T2310 @ 1.46GHz,NA,735,NA,502,NA,35,21,Dec-08,PPGA478,Laptop,
AMD Athlon 64 FX-57,NA,730,NA,831,NA,104,7,Mar-09,939,Desktop,
Intel Core Duo T2300 @ 1.66GHz,NA,727,NA,528,NA,31,23,Mar-09,BGA479,Laptop,
AMD E-350D APU,NA,726,NA,430,NA,18,40,Mar-13,NA,Unknown,
AMD Ryzen Threadripper 2990WX,$1 ,724.99,23167,13.43,2073,1.2,250,92,Aug-18,sTR4,Desktop
AMD Athlon 64 FX-55,$179.95*,721,4.01,767,4.26,104,6,Feb-09,939,Desktop,
Intel Celeron U3400 @ 1.07GHz,NA,721,NA,422,NA,18,40,Sep-10,BGA1288,Laptop,
Intel Atom D2701 @ 2.13GHz,NA,720,NA,342,NA,10,72,May-13,BGA559,Laptop,
Intel Core Duo L2300 @ 1.50GHz,NA,719,NA,489,NA,15,47,Feb-10,BGA479,Desktop,
AMD Athlon 64 FX-59,NA,715,NA,884,NA,NA,NA,May-13,939,Desktop,
Intel Atom D2560 @ 2.00GHz,NA,711,NA,325,NA,10,71,Dec-13,NA,Desktop,
Intel Pentium D 940 @ 3.20GHz,NA,709,NA,758,NA,130,5,Dec-08,PLGA775,Desktop,
Intel Pentium T2130 @ 1.86GHz,NA,708,NA,565,NA,31,22,Feb-09,PGA478,Laptop,
Intel Atom D525 @ 1.80GHz,NA,706,NA,285,NA,13,54,Jun-10,BGA559,Desktop,
Intel Core Duo L2400 @ 1.66GHz,NA,705,NA,520,NA,15,47,May-09,BGA479,Laptop,
Intel Pentium 5 2.66GHz,NA,705,NA,NA,NA,NA,NA,Mar-12,NA,Desktop,
Intel Pentium T2080 @ 1.73GHz,$159.95*,705,4.41,541,3.39,31,22,Dec-08,PGA478,Laptop,
AMD Opteron 154,NA,703,NA,821,NA,104,6,Dec-11,939,Server,
AMD Sempron 130,$24.99*,700,28.03,751,30.07,45,15,Apr-12,AM2+/AM3,Unknown,
Intel Core2 Duo U7700 @ 1.33GHz,NA,700,NA,436,NA,10,70,Dec-08,NA,Laptop,
Intel Celeron G440 @ 1.60GHz,$49.99*,694,13.9,740,14.82,35,19,Feb-12,LGA1155,Desktop,
AMD Opteron 254,NA,693,NA,889,NA,68,10,Dec-12,940,Server,
Intel Core Duo T2050 @ 1.60GHz,NA,693,NA,496,NA,31,22,Dec-08,PGA478,Desktop,
Intel Celeron 925 @ 2.30GHz,NA,691,NA,744,NA,35,19,Dec-10,NA,Laptop,
AMD E1-1500 APU,NA,687,NA,388,NA,18,38,Mar-13,FT1,Laptop,
Intel Celeron U3405 @ 1.07GHz,NA,684,NA,NA,NA,18,38,Jan-11,BGA1288,Laptop,
Intel Core2 Duo L7200 @ 1.33GHz,NA,684,NA,NA,NA,17,40,Jul-10,PBGA479,Laptop,
Intel Xeon MV 3.20GHz,NA,683,NA,447,NA,90,7,May-15,mPGA604,Server,
Intel Atom D2550 @ 1.86GHz,NA,680,NA,303,NA,10,68,Jul-12,BGA559,Desktop,
AMD Athlon LE-1660,NA,679,NA,748,NA,45,15,Apr-09,AM2,Desktop,
Intel Xeon Gold 6242 @ 2.80GHz,$2 ,678.49,25313,9.45,2001,0.75,150,168,Aug-19,FCLGA3647,Server
AMD V160,NA,677,NA,730,NA,25,27,Jan-11,S1,Laptop,
Intel Celeron 900 @ 2.20GHz,$28.99 ,676,23.34,781,26.97,34.8,19,Aug-09,PGA478,Laptop,
AMD Athlon 1640B,$50.00*,670,13.42,776,15.53,45,14,May-09,AM2,Desktop,
Intel Core2 Duo U7600 @ 1.20GHz,NA,669,NA,432,NA,10,66,Feb-09,BGA479,Laptop,
AMD G-T48E,NA,667,NA,377,NA,18,37,Aug-13,FT1,Laptop,
Intel Pentium T2060 @ 1.60GHz,NA,663,NA,511,NA,31,21,Dec-08,PGA478,Laptop,
AMD Opteron 152,NA,658,NA,749,NA,104,6,Jul-09,939,Server,
Intel Atom D510 @ 1.66GHz,$97.16*,658,6.78,264,2.73,13,50,Jan-10,BGA559,Desktop,
Intel Atom K510 @ 1.66GHz,NA,658,NA,NA,NA,NA,NA,Apr-10,NA,Unknown,
AMD E1-1200 APU,NA,655,NA,364,NA,18,36,Aug-12,FT1,Laptop,
AMD Opteron 250,$11.00*,649,59.01,NA,NA,85.3,7,Feb-09,940,Server,
AMD Athlon 64 FX-53,$29.99*,646,21.57,NA,NA,89,7,Feb-09,940,Desktop,
AMD Athlon X2 Dual Core L310,NA,645,NA,350,NA,13,49,Oct-09,S1,Laptop,
VIA Nano L3600@2000MHz,NA,645,NA,NA,NA,NA,NA,Sep-11,BGA400,Laptop,
AMD V140,$49.95*,643,12.89,698,13.98,25,25,Oct-10,S1,Laptop,
Intel Core 330 @ 1.60GHz,NA,643,NA,NA,NA,NA,NA,Dec-10,NA,Unknown,
AMD E1-2100 APU,NA,642,NA,364,NA,9,71,Jul-13,FT3,Laptop,
Intel Pentium D 830 @ 3.00GHz,NA,642,NA,697,NA,95,6,Dec-08,PLGA775,Desktop,
AMD Sempron LE-1620,NA,635,NA,NA,NA,NA,NA,Mar-09,NA,Unknown,
AMD A4-1200 APU,NA,632,NA,365,NA,3.9,162,Oct-13,FT3,Laptop,
AMD Opteron 246,$19.99*,632,31.62,NA,NA,89,7,May-09,940,Server,
AMD Athlon II 170u,$29.95*,626,20.91,633,21.16,20,31,Oct-10,AM2+,AM3,Desktop
AMD Athlon LE-1640,NA,626,NA,716,NA,45,13,Feb-09,AM2,Desktop,
Intel Celeron 450 @ 2.20GHz,$29.99*,626,20.9,733,24.47,35,17,Mar-09,LGA775,Desktop,
Intel Atom N2800 @ 1.86GHz,NA,625,NA,287,NA,6.5,96,Dec-11,BGA559,Laptop,
AMD V120,NA,623,NA,663,NA,25,24,Jun-10,S1,Laptop,
AMD A4-1250 APU,NA,622,NA,359,NA,8,77,Jul-13,FT3,Laptop,
AMD Turion 64 Mobile ML-42,NA,615,NA,699,NA,35,17,May-09,754,Laptop,
Intel Celeron 827E @ 1.40GHz,NA,613,NA,704,NA,17,36,May-12,FCBGA1023,Laptop,
AMD E-300 APU,NA,609,NA,340,NA,18,33,Oct-11,FT1,Laptop,
AMD Athlon 64 4000+,$183.27*,608,3.32,677,3.7,62,9,Dec-08,AM2,Unknown,
VIA Nano X2 U4025 @ 1.2 GHz,NA,605,NA,328,NA,NA,NA,Jul-13,BGA400,Laptop,
AMD Opteron 150,NA,604,NA,724,NA,85.3,7,Mar-09,939,Server,
Intel Xeon 3.80GHz,$851.00*,604,0.71,914,1.07,110,5,Apr-09,PPGA604,Server,
AMD Opteron 148,NA,603,NA,681,NA,85.3,7,May-09,939,Server,
AMD Athlon 64 3600+,NA,601,NA,NA,NA,NA,NA,Nov-09,Socket 754,Desktop,
AMD Athlon 64 3700+,$69.00*,598,8.67,655,9.51,89,6,Dec-08,939,Unknown,
AMD Sempron LE-1300,$21.00 ,595,28.37,615,29.31,45,13,May-09,AM2,Desktop,
AMD Turion 64 Mobile ML-44,NA,591,NA,721,NA,35,16,Mar-09,754,Laptop,
Intel Core2 Duo U7500 @ 1.06GHz,NA,590,NA,383,NA,10,59,Mar-09,BGA479,Laptop,
AMD Athlon 64 3800+,$179.95*,589,3.28,672,3.74,45,13,Jan-09,AM2,Unknown,
Intel Core2 Duo Q6867 @ 3.00GHz,NA,589,NA,NA,NA,NA,NA,Jul-11,NA,Unknown,
Intel Atom 330 @ 1.60GHz,NA,587,NA,252,NA,8,73,Feb-09,BGA437,Desktop,
Intel Celeron D 430 @ 1.80GHz,NA,585,NA,NA,NA,35,16,Mar-09,LGA775,Desktop,
Intel Pentium D 915 @ 2.80GHz,NA,583,NA,652,NA,95,6,Dec-08,PLGA775,Desktop,
AMD EPYC 7551P,$2 ,582.01,18443,7.14,1279,0.5,180,102,Mar-18,SP3,Server
AMD Sempron M120,NA,582,NA,629,NA,25,23,Feb-10,S1,Laptop,
VIA Nano L3050@1800MHz,NA,581,NA,NA,NA,25,23,Sep-11,BGA400,Laptop,
Intel Atom E3825 @ 1.33GHz,$70.32*,579,8.24,284,4.05,6,96,Jun-14,FCBGA1170,Desktop,
AMD Athlon LE-1620,$18.00*,578,32.12,678,37.7,45,12,Mar-09,AM2,Desktop,
AMD Athlon 64 3300+,NA,576,NA,734,NA,NA,NA,Mar-09,NA,Unknown,
Mobile AMD Athlon 64 4000+,NA,576,NA,711,NA,62,9,Mar-09,NA,Laptop,
AMD Athlon 64 2200+,NA,575,NA,NA,NA,NA,NA,Sep-11,NA,Unknown,
